id,date,year,semester,era,kind,sentiment,sentiment_label,emoji,tone_intensity,primary_topic_label,topic_tag_labels,entities,target_short,sender_short,snippet,text_full
1842,1998-01-19,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.39,"Parking, towing & cars","Streets, traffic & pedestrian safety | Transit, buses & mobility | Parking, towing & cars",Harrisonburg | Harrisonburg Transit,the Harrisonburg Transit driver,a student,"A ""why-me?"" dart to the Harrisonburg Transit driver who hit my car Thursday. Sent in by a student who's bitter about the dent in her car but is thankful you at least left her a no…","A ""why-me?"" dart to the Harrisonburg Transit driver who hit my car Thursday. Sent in by a student who's bitter about the dent in her car but is thankful you at least left her a note."
1840,1998-01-19,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.45,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Transit, buses & mobility",Main Street,the people,a student,"A ""get-your-own-!@#*@#'-ride"" dart to the people who stole my cab on Thursday night. Sent in by a student who is pissed she had to walk down South Main Street in the cold while yo…","A ""get-your-own-!@#*@#'-ride"" dart to the people who stole my cab on Thursday night. Sent in by a student who is pissed she had to walk down South Main Street in the cold while you were warm and dry in her cab."
1850,1998-01-26,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.38,"Housing, landlords & apartment life","Housing, landlords & apartment life | Campus edge, construction & expansion",,our landlord,frustrated students,"A ""you-should-be-ashamed"" dart to our landlord for not dealing with our mouse problem, putting up storm windows or warning us of the construction that started outside our window a…","A ""you-should-be-ashamed"" dart to our landlord for not dealing with our mouse problem, putting up storm windows or warning us of the construction that started outside our window at 7 a.m. Sent in by frustrated students who wouldn't want their worst enemies to live in your housing."
1855,1998-01-29,1998,Spring,1991–1999,PAT,1,pat / praise,👏,0.36,Local businesses & restaurants,Local businesses & restaurants,Artful Dodger,the Artful Dodger,a student,"A ""my-lungs-breathe-easier"" pat to the Artful Dodger for becoming smoke-free. Sent in by a student who can now enjoy the Dodger's atmosphere.","A ""my-lungs-breathe-easier"" pat to the Artful Dodger for becoming smoke-free. Sent in by a student who can now enjoy the Dodger's atmosphere."
1859,1998-02-02,1998,Spring,1991–1999,PAT,1,pat / praise,👏,0.47,"Police, public safety & city services","Parking, towing & cars | Police, public safety & city services",Harrisonburg | Harrisonburg Police,the Harrisonburg Police officer,three students,"A ""thanks-for-keeping-us-warm"" pat to the Harrisonburg Police officer who let us sit in his car while we waited for our late cab. Sent in by three students who appreciated not hav…","A ""thanks-for-keeping-us-warm"" pat to the Harrisonburg Police officer who let us sit in his car while we waited for our late cab. Sent in by three students who appreciated not having to freeze to death thanks to you."
1867,1998-02-06,1998,Spring,1991–1999,PAT,1,pat / praise,👏,0.39,"Police, public safety & city services","Parking, towing & cars | Police, public safety & city services",Harrisonburg | Harrisonburg Police,the Harrisonburg Police officer,students,"A ""thanks-for-the-watchful-eye"" pat to the Harrisonburg Police officer who answered our call about a strange man watching us from his car. Sent in by students who felt safer knowi…","A ""thanks-for-the-watchful-eye"" pat to the Harrisonburg Police officer who answered our call about a strange man watching us from his car. Sent in by students who felt safer knowing you were there."
1868,1998-02-06,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.45,"Housing, landlords & apartment life","Housing, landlords & apartment life | Neighbors, parties & student behavior",Hunter's Ridge,the person,Hunter's Ridge residents,"An ""adding-sobriety-to-sorrow"" dart to the person who stole our two TVs and then stole our beer from our refrigerator. Sent in by Hunter's Ridge residents who can't even drown the…","An ""adding-sobriety-to-sorrow"" dart to the person who stole our two TVs and then stole our beer from our refrigerator. Sent in by Hunter's Ridge residents who can't even drown their sorrows over their lost TVs thanks to you."
1890,1998-02-19,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.42,"Transit, buses & mobility","Streets, traffic & pedestrian safety | Transit, buses & mobility",Harrisonburg | Harrisonburg Transit,the Harrisonburg Transit driver,a pissed off student,"A ""thanks-for-making-me-walk"" dart to the Harrisonburg Transit driver for who didn't pick me up just because I wasn't at a specified stop. Sent in by a pissed off student who curs…","A ""thanks-for-making-me-walk"" dart to the Harrisonburg Transit driver for who didn't pick me up just because I wasn't at a specified stop. Sent in by a pissed off student who cursed your name with every step she took on her walk home."
1893,1998-02-19,1998,Spring,1991–1999,PAT,1,pat / praise,👏,0.37,"Housing, landlords & apartment life","Streets, traffic & pedestrian safety | Transit, buses & mobility | Housing, landlords & apartment life",Harrisonburg | Harrisonburg Transit | Olde Mill,"Howard, the Harrisonburg Transit driver",eight Olde Mill residents,"A ""you're-the-best"" pat to Howard, the Harrisonburg Transit driver, who gave me and my friends a sober ride home on a night when we definitely needed it. Sent in by eight Olde Mil…","A ""you're-the-best"" pat to Howard, the Harrisonburg Transit driver, who gave me and my friends a sober ride home on a night when we definitely needed it. Sent in by eight Olde Mill residents who probably wouldn't have made it home without you."
1898,1998-02-23,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.37,Local businesses & restaurants,Local businesses & restaurants,Valley Mall,the guy,a student,"A ""watch-your-mouth"" dart to the guy who cursed at his toddler son at Valley Mall Saturday. Sent in by a student who's disgusted by your poor display of parenting.","A ""watch-your-mouth"" dart to the guy who cursed at his toddler son at Valley Mall Saturday. Sent in by a student who's disgusted by your poor display of parenting."
1896,1998-02-23,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.42,Other town-gown moments,,,the Boston Beanery waitress,a student,"A ""service-without-a-smile"" dart to the Boston Beanery waitress who charged us $7 for four slices of bread and then got angry when we complained. Sent in by a student who didn't a…","A ""service-without-a-smile"" dart to the Boston Beanery waitress who charged us $7 for four slices of bread and then got angry when we complained. Sent in by a student who didn't appreciate her bill or your attitude."
1916,1998-03-05,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.42,"Housing, landlords & apartment life","Housing, landlords & apartment life | Neighbors, parties & student behavior",Hunter's Ridge,the apartment,two financially challenged students,"A ""thanks-for-the-warning"" dart to the apartment in Hunter's Ridge that played fun patrol last Saturday night and called in a noise violation without warning. Sent in by two finan…","A ""thanks-for-the-warning"" dart to the apartment in Hunter's Ridge that played fun patrol last Saturday night and called in a noise violation without warning. Sent in by two financially challenged students who didn't appreciate the additional fee."
1938,1998-04-02,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Transit, buses & mobility","Streets, traffic & pedestrian safety | Transit, buses & mobility",Harrisonburg | Harrisonburg Transit,the Harrisonburg Transit Authority driver,a traumatized student,"A ""watch-where-you're-going"" dart to the Harrisonburg Transit Authority driver who almost ran me over Monday night. Sent in by a traumatized student who didn't enjoy seeing her li…","A ""watch-where-you're-going"" dart to the Harrisonburg Transit Authority driver who almost ran me over Monday night. Sent in by a traumatized student who didn't enjoy seeing her life flash before her eyes."
1936,1998-04-02,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.4,"Neighbors, parties & student behavior","Neighbors, parties & student behavior",,Tri-Sigma,an outraged student,"A ""grow-up"" dart to Tri-Sigma for their immature display at the Association of Retarded Citizens gathering Friday night. Sent in by an outraged student who believes ARC members ha…","A ""grow-up"" dart to Tri-Sigma for their immature display at the Association of Retarded Citizens gathering Friday night. Sent in by an outraged student who believes ARC members have more compassion and understanding than your group will ever have."
2272,1998-04-08,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety",Main Street,those students,an irate motorist,"A ""get-some-common-sense"" dart to those students who cross South Main Street without looking both ways. Sent in by an irate motorist who would like to keep the flow of traffic con…","A ""get-some-common-sense"" dart to those students who cross South Main Street without looking both ways. Sent in by an irate motorist who would like to keep the flow of traffic continuing smoothly."
2274,1998-04-08,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.43,"Housing, landlords & apartment life","Housing, landlords & apartment life",Harrisonburg | JMU,our two immature roommates,two students,"A ""you-need-help"" dart to our two immature roommates who stole and destroyed the tricycle of a young Harrisonburg resident. Sent in by two students who know that it's people like…","A ""you-need-help"" dart to our two immature roommates who stole and destroyed the tricycle of a young Harrisonburg resident. Sent in by two students who know that it's people like you who create problems between JMU students and Harrisonburg citizens these days."
1957,1998-04-16,1998,Spring,1991–1999,PAT,1,pat / praise,👏,0.45,Community service & mutual aid,"Parking, towing & cars | Community service & mutual aid",,the two students,a student,"A ""thanks-for-stopping"" pat to the two students in the Jeep who helped me after my accident on a rainy day on Interstate 81. Sent in by a student who was driving a silver sports c…","A ""thanks-for-stopping"" pat to the two students in the Jeep who helped me after my accident on a rainy day on Interstate 81. Sent in by a student who was driving a silver sports car and can't thank you enough."
1964,1998-04-20,1998,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Housing, landlords & apartment life","Police, public safety & city services | Housing, landlords & apartment life | Neighbors, parties & student behavior",,the amateur cameraman,a student,"A ""rent-your-own-movie"" dart to the amateur cameraman who videotaped my boyfriend and I last weekend. Sent in by a student who thinks you should be lucky you escaped before the po…","A ""rent-your-own-movie"" dart to the amateur cameraman who videotaped my boyfriend and I last weekend. Sent in by a student who thinks you should be lucky you escaped before the police came."
1975,1998-04-27,1998,Spring,1991–1999,PAT,1,pat / praise,👏,0.4,"Housing, landlords & apartment life","Housing, landlords & apartment life",Hunter's Ridge,the woman,a stressed-out student,"A ""way-to-remain-calm"" pat to the woman in the maroon Volvo whom I rear-ended coming out of Hunter's Ridge last week. Sent in by a stressed-out student who was grateful for the le…","A ""way-to-remain-calm"" pat to the woman in the maroon Volvo whom I rear-ended coming out of Hunter's Ridge last week. Sent in by a stressed-out student who was grateful for the level-headed way you handled the situation."
1987,1998-09-03,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Transit, buses & mobility","Transit, buses & mobility",Harrisonburg | Harrisonburg Transit,Harrisonburg Transit,a student,"An ""if-this-is-brand-new-I-don't-want-to-see-broken"" dart to Harrisonburg Transit for having two buses break down on the first day of class. Sent in by a student who thinks the po…","An ""if-this-is-brand-new-I-don't-want-to-see-broken"" dart to Harrisonburg Transit for having two buses break down on the first day of class. Sent in by a student who thinks the point of taking the bus is not having to walk."
1992,1998-09-08,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.4,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Neighbors, parties & student behavior | Local businesses & restaurants | Downtown, arts & events",JMU | Main Street,the Main Street Bar & Grill,disgruntled students,"A ""more-than-half-of-JMU-is-under-21"" dart to the Main Street Bar & Grill for denying us the privilege of seeing Emmet Swimming because we weren't of legal drinking age. Sent in b…","A ""more-than-half-of-JMU-is-under-21"" dart to the Main Street Bar & Grill for denying us the privilege of seeing Emmet Swimming because we weren't of legal drinking age. Sent in by disgruntled students who don't care about drinking alcohol and just wanted to see a good show."
2003,1998-09-14,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.4,"Parking, towing & cars","Parking, towing & cars | Housing, landlords & apartment life | Local businesses & restaurants",,the owner,two Squire Hill residents,"A ""quit-crying-wolf"" dart to the owner of a compact red car in Squire Hill whose car alarm activates when the wind blows faster than two m.p.h. Sent in by two Squire Hill resident…","A ""quit-crying-wolf"" dart to the owner of a compact red car in Squire Hill whose car alarm activates when the wind blows faster than two m.p.h. Sent in by two Squire Hill residents who wouldn't be able to tell when your car was truly being stolen and frankly wouldn't care."
2017,1998-09-21,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.43,"Housing, landlords & apartment life","Housing, landlords & apartment life",,the individual,a transportationally challenged student,"A ""how-would-you-feel?"" dart to the individual who cut through my bike lock and stole my dark green mountain bike from outside my apartment Thursday night. Sent in by a transporta…","A ""how-would-you-feel?"" dart to the individual who cut through my bike lock and stole my dark green mountain bike from outside my apartment Thursday night. Sent in by a transportationally challenged student who worked long hours to buy a nice bike and hopes you have the heart to return it."
2022,1998-09-24,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Housing, landlords & apartment life","Parking, towing & cars | Housing, landlords & apartment life | Campus edge, construction & expansion",,an off-campus apartment complex,a student,"A ""where's-my-parking-spot?"" dart to an off-campus apartment complex for featuring parking as one of its better assets. Sent in by a student who lives in the middle row and would…","A ""where's-my-parking-spot?"" dart to an off-campus apartment complex for featuring parking as one of its better assets. Sent in by a student who lives in the middle row and would occasionally enjoy parking in front of her apartment."
2036,1998-10-01,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Parking, towing & cars","Parking, towing & cars",Harrisonburg,the individuals,a student,"An ""are-you-that-blind?"" dart to the individuals who tried to break into my car when I was only 10 feet away. Sent in by a student who can't believe Harrisonburg is turning into c…","An ""are-you-that-blind?"" dart to the individuals who tried to break into my car when I was only 10 feet away. Sent in by a student who can't believe Harrisonburg is turning into crime central."
2071,1998-10-22,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.4,"Housing, landlords & apartment life","Streets, traffic & pedestrian safety | Housing, landlords & apartment life",Harrisonburg | JMU,the JMU students,a Harrisonburg resident,"A ""haven't-you-got-a-conscience?"" dart to the JMU students seen taking a pumpkin from my yard on South Liberty Street. Sent in by a Harrisonburg resident who thinks that since she…","A ""haven't-you-got-a-conscience?"" dart to the JMU students seen taking a pumpkin from my yard on South Liberty Street. Sent in by a Harrisonburg resident who thinks that since she doesn't steal your property, you have no right to steal hers."
2094,1998-11-02,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.45,"Parking, towing & cars","Streets, traffic & pedestrian safety | Parking, towing & cars | Housing, landlords & apartment life | Campus edge, construction & expansion",,the cowardly driver,someone,"A ""don't-hit-and-run"" dart to the cowardly driver of a white car in an off-campus apartment complex who thoughtlessly hit my new car without leaving a note. Sent in by someone who…","A ""don't-hit-and-run"" dart to the cowardly driver of a white car in an off-campus apartment complex who thoughtlessly hit my new car without leaving a note. Sent in by someone who is pretty sure she knows who you are and thinks you should have the decency to hand over your insurance number."
2113,1998-11-16,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.47,"Parking, towing & cars","Parking, towing & cars | Neighbors, parties & student behavior | Civic identity, media & reputation",,a local towing service,a neighbor,"A ""check-your-facts-next-time"" dart to a local towing service for towing cars parked in a community lot in back of our houses. Sent in by a neighbor who didn't appreciate getting…","A ""check-your-facts-next-time"" dart to a local towing service for towing cars parked in a community lot in back of our houses. Sent in by a neighbor who didn't appreciate getting her car towed that rightfully belonged there."
2126,1998-12-03,1998,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.43,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Housing, landlords & apartment life | Campus edge, construction & expansion",Harrisonburg,the students,a Harrisonburg resident,"A ""see-if-I-help-out-again"" dart to the students who smashed the glass in my street post light on Hillcrest Drive. Sent in by a Harrisonburg resident who kept his light lit all ni…","A ""see-if-I-help-out-again"" dart to the students who smashed the glass in my street post light on Hillcrest Drive. Sent in by a Harrisonburg resident who kept his light lit all night to assist off-campus students getting home late, and can't believe this is the thank you he received."
2152,1999-01-18,1999,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Housing, landlords & apartment life",Port Republic Road,the crazy redhead,someone,"A ""slow-it-down"" dart to the crazy redhead who drives her black Ford Ranger through our Port Republic Road apartment complex at breakneck speed. Sent in by someone who was almost…","A ""slow-it-down"" dart to the crazy redhead who drives her black Ford Ranger through our Port Republic Road apartment complex at breakneck speed. Sent in by someone who was almost killed by your recklessness last week."
2162,1999-01-21,1999,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.41,"Police, public safety & city services","Police, public safety & city services | Neighbors, parties & student behavior | Campus edge, construction & expansion",Harrisonburg | Harrisonburg Police,the Harrisonburg police officer,off-campus dwellers,"A ""try-doing-your-job"" dart to the Harrisonburg police officer who blew us off the other night when we asked you to talk to our neighbors about their incendiary habits. Sent in by…","A ""try-doing-your-job"" dart to the Harrisonburg police officer who blew us off the other night when we asked you to talk to our neighbors about their incendiary habits. Sent in by off-campus dwellers who are sick of being hauled out of a deep sleep nightly by fire alarms and would have appreciated some assistance from the man in blue."
2168,1999-01-25,1999,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.4,"Housing, landlords & apartment life","Housing, landlords & apartment life | Neighbors, parties & student behavior | Campus edge, construction & expansion",,our upstairs neighbors,a group of women,"A ""can't-the-crumbs-wait-until-tomorrow?"" dart to our upstairs neighbors in our off-campus apartment complex who feel the need to break out the vacuum at 1 a.m. Sent in by a group…","A ""can't-the-crumbs-wait-until-tomorrow?"" dart to our upstairs neighbors in our off-campus apartment complex who feel the need to break out the vacuum at 1 a.m. Sent in by a group of women who support your need to clean but wish you could do it during daylight hours — preferably after 9 a.m."
2179,1999-01-28,1999,Spring,1991–1999,PAT,1,pat / praise,👏,0.46,"Civic identity, media & reputation","Police, public safety & city services | Community service & mutual aid | Civic identity, media & reputation",Harrisonburg | City of Harrisonburg | JMU,the UREC staff and intramural referees,a City of Harrisonburg Department official,"A ""thanks-for-helping-out"" pat to the UREC staff and intramural referees for their assistance in our local basketball tournament. We couldn't have done it without you. Sent in by…","A ""thanks-for-helping-out"" pat to the UREC staff and intramural referees for their assistance in our local basketball tournament. We couldn't have done it without you. Sent in by a City of Harrisonburg Department official who knows the City and JMU can work together to provide quality activities for the community."
2180,1999-02-01,1999,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.43,"Housing, landlords & apartment life","Housing, landlords & apartment life | Local businesses & restaurants | Campus edge, construction & expansion",,an off-campus apartment complex,a current resident,"A ""nice-returning-business-tactic"" dart to an off-campus apartment complex for raising the rent after students had already agreed to stay for next year. Sent in by a current resid…","A ""nice-returning-business-tactic"" dart to an off-campus apartment complex for raising the rent after students had already agreed to stay for next year. Sent in by a current resident who doesn't need all your ""bonuses"" and regrets that it's too late to find anywhere else to move."
2198,1999-02-08,1999,Spring,1991–1999,PAT,1,pat / praise,👏,0.46,"Transit, buses & mobility","Streets, traffic & pedestrian safety | Transit, buses & mobility | Local businesses & restaurants | Community service & mutual aid",Harrisonburg | Harrisonburg Transit | Valley Mall,the Harrisonburg Transit bus driver,a student,"An ""it's-good-to-know-people-like-you-still-exist"" pat to the Harrisonburg Transit bus driver who helped me on my way home from Valley Mall, and to the guy who helped me carry all…","An ""it's-good-to-know-people-like-you-still-exist"" pat to the Harrisonburg Transit bus driver who helped me on my way home from Valley Mall, and to the guy who helped me carry all my bags home from the bus stop. Sent in by a student who bought more yaffa blocks than she could carry and appreciated all the help she received."
2221,1999-02-18,1999,Spring,1991–1999,PAT,1,pat / praise,👏,0.42,"Housing, landlords & apartment life","Housing, landlords & apartment life | Local businesses & restaurants",South View,the South View maintenance employee,four grateful South View residents,"A ""your-kindness-hasn't-gone-unnoticed"" pat to the South View maintenance employee who changed our lock after our roommate's key was stolen. Sent in by four grateful South View re…","A ""your-kindness-hasn't-gone-unnoticed"" pat to the South View maintenance employee who changed our lock after our roommate's key was stolen. Sent in by four grateful South View residents who feel much safer about going to sleep with a new lock."
2224,1999-02-22,1999,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.41,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Parking, towing & cars",,the parking attendant,a frustrated student,"A ""do-you-have-a-single-ounce-of-common-sense-in-your-entire-body?"" dart to the parking attendant who kept cramming cars from Grace Street into the gravel pit. Sent in by a frustr…","A ""do-you-have-a-single-ounce-of-common-sense-in-your-entire-body?"" dart to the parking attendant who kept cramming cars from Grace Street into the gravel pit. Sent in by a frustrated student who understands the road can't be blocked, but needs you to understand that she can't give her spot to someone when she doesn't have room to back out."
2233,1999-02-25,1999,Spring,1991–1999,PAT,1,pat / praise,👏,0.4,"Transit, buses & mobility","Streets, traffic & pedestrian safety | Transit, buses & mobility",Harrisonburg | Harrisonburg Transit,the Harrisonburg Transit bus driver,a tardy college student,"A ""thanks-for-stopping-by"" pat to the Harrisonburg Transit bus driver who made a quick stop to pick me up even though I wasn't on his route when I missed my bus. Sent in by a tard…","A ""thanks-for-stopping-by"" pat to the Harrisonburg Transit bus driver who made a quick stop to pick me up even though I wasn't on his route when I missed my bus. Sent in by a tardy college student who was glad she didn't have to freeze by standing out in the cold."
2259,1999-03-25,1999,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Parking, towing & cars","Parking, towing & cars | Housing, landlords & apartment life | Campus edge, construction & expansion",,resident advisers,a friendly neighborhood parking attendant,"A ""get-over-yourself"" dart to resident advisers who insist their parking permits allow them to park anywhere on campus. Sent in by a friendly neighborhood parking attendant who th…","A ""get-over-yourself"" dart to resident advisers who insist their parking permits allow them to park anywhere on campus. Sent in by a friendly neighborhood parking attendant who thinks if she's not considered ""faculty and staff"" then neither are you."
2335,1999-09-07,1999,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.38,Community service & mutual aid,Local businesses & restaurants | Community service & mutual aid,Valley Mall,the group,a student,"A ""watch-your-language"" dart to the group of guys who were swearing loudly in front of little kids the other day at Valley Mall. Sent in by a student who thinks you should save th…","A ""watch-your-language"" dart to the group of guys who were swearing loudly in front of little kids the other day at Valley Mall. Sent in by a student who thinks you should save those kinds of words for times when impressionable children are not present."
2357,1999-09-16,1999,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.4,"Neighbors, parties & student behavior","Neighbors, parties & student behavior",,the guys,some students,"A ""can't-you-keep-your-mouth-shut"" dart to the guys who kept yelling at people in Dave's Taverna last weekend. Sent in by some students who thought you were very rude and obnoxiou…","A ""can't-you-keep-your-mouth-shut"" dart to the guys who kept yelling at people in Dave's Taverna last weekend. Sent in by some students who thought you were very rude and obnoxious and wished you could learn how to be quiet."
2395,1999-10-04,1999,Fall,1991–1999,PAT,1,pat / praise,👏,0.42,Local businesses & restaurants,Local businesses & restaurants,,the employees,"a crazy, speaker-dancing girl","An ""I-can't-thank-you-enough-for-finding-my-watch"" pat to the employees at Mainstreet Bar and Grill. Sent in by a crazy, speaker-dancing girl who was grateful that her night of fu…","An ""I-can't-thank-you-enough-for-finding-my-watch"" pat to the employees at Mainstreet Bar and Grill. Sent in by a crazy, speaker-dancing girl who was grateful that her night of fun didn't have to end on a sour note."
2429,1999-10-25,1999,Fall,1991–1999,PAT,1,pat / praise,👏,0.47,"Transit, buses & mobility","Streets, traffic & pedestrian safety | Transit, buses & mobility",Harrisonburg | JMU | Harrisonburg Transit,the Harrisonburg Transit bus drivers,some spirited students,"A ""way-to-support-the-team"" pat to the Harrisonburg Transit bus drivers for wearing JMU football T-shirts while they made their rounds last Friday. Sent in by some spirited studen…","A ""way-to-support-the-team"" pat to the Harrisonburg Transit bus drivers for wearing JMU football T-shirts while they made their rounds last Friday. Sent in by some spirited students who think it's cool when everyone rallies to support the Dukes."
2433,1999-10-29,1999,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.38,Other town-gown moments,,Harrisonburg,Digital Resources Cable Company,two disgruntled students,"A ""what's-the-deal"" dart to Digital Resources Cable Company for not allowing us to watch the Yankees play in the World Series two nights in a row. Sent in by two disgruntled stude…","A ""what's-the-deal"" dart to Digital Resources Cable Company for not allowing us to watch the Yankees play in the World Series two nights in a row. Sent in by two disgruntled students who chalk this up to one more reason why they can't stand Harrisonburg cable."
2456,1999-11-11,1999,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.4,Other town-gown moments,,,Squire Hill,some angry students,"A ""why-are-you-screwing-up-a-good-thing?"" dart to Squire Hill for taking away our cable provider and making us subscribe to a new company that is more expensive. Sent in by some a…","A ""why-are-you-screwing-up-a-good-thing?"" dart to Squire Hill for taking away our cable provider and making us subscribe to a new company that is more expensive. Sent in by some angry students who don't want to pay more money for channels they will never watch."
2476,1999-12-02,1999,Fall,1991–1999,PAT,1,pat / praise,👏,0.38,"Transit, buses & mobility","Streets, traffic & pedestrian safety | Transit, buses & mobility | Weather, environment & infrastructure",Harrisonburg | Harrisonburg Transit,the 7A Harrisonburg Transit driver,some students,"A ""rain-hats-off-to-you"" pat to the 7A Harrisonburg Transit driver who cares enough to open both doors of the bus when it's raining, instead of making us wait to get in the front…","A ""rain-hats-off-to-you"" pat to the 7A Harrisonburg Transit driver who cares enough to open both doors of the bus when it's raining, instead of making us wait to get in the front door. Sent in by some students who think it's important to keep dry and are glad you agree."
2474,1999-12-02,1999,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.43,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety",Main Street,the idiot,a terrified student,"A ""does-the-concept-of-a-crosswalk-confuse-you?"" dart to the idiot who almost ran me over when I was crossing South Main Street Tuesday morning. Sent in by a terrified student who…","A ""does-the-concept-of-a-crosswalk-confuse-you?"" dart to the idiot who almost ran me over when I was crossing South Main Street Tuesday morning. Sent in by a terrified student who thinks that if he takes the time to walk to the crosswalk, he shouldn't have to play the traffic game and worry about getting run over."
2480,1999-12-02,1999,Fall,1991–1999,PAT,1,pat / praise,👏,0.43,"Housing, landlords & apartment life","Police, public safety & city services | Housing, landlords & apartment life",,the guys,an extremely grateful junior,"A ""thanks-for-saving-my-apartment"" pat to the guys who saved the day when my Christmas lights caught on fire. Sent in by an extremely grateful junior who doesn't want to think abo…","A ""thanks-for-saving-my-apartment"" pat to the guys who saved the day when my Christmas lights caught on fire. Sent in by an extremely grateful junior who doesn't want to think about what would have happened had you not seen the flames and come to her rescue."
2501,2000-01-13,2000,Spring,2000–2009,PAT,1,pat / praise,👏,0.45,Other town-gown moments,,Harrisonburg,the guy,a thankful senior,"A ""thanks-for-being-so-courteous"" pat to the guy at the Harrisonburg post office who let me cut in line because I was running late for an important meeting. Sent in by a thankful…","A ""thanks-for-being-so-courteous"" pat to the guy at the Harrisonburg post office who let me cut in line because I was running late for an important meeting. Sent in by a thankful senior who appreciated your help when the line was moving so slowly and hopes to repay your kindness some day."
2495,2000-01-13,2000,Spring,2000–2009,DART,-1,dart / criticism,🎯,0.43,"Housing, landlords & apartment life","Housing, landlords & apartment life | Local businesses & restaurants",,the mouse,some angry Foxhill dwellers,"A ""you-better-watch-your-back"" dart to the mouse in our apartment who ate our food and urinated all over our pantry while we were away from the 'Burg. Sent in by some angry Foxhil…","A ""you-better-watch-your-back"" dart to the mouse in our apartment who ate our food and urinated all over our pantry while we were away from the 'Burg. Sent in by some angry Foxhill dwellers who tried to be nice by using humane traps but are out for blood now."
2496,2000-01-13,2000,Spring,2000–2009,DART,-1,dart / criticism,🎯,0.43,"Housing, landlords & apartment life","Streets, traffic & pedestrian safety | Parking, towing & cars | Housing, landlords & apartment life",South View,South View,an annoyed student,"A ""what-the-heck-did-you-do-to-our-parking-lot?"" dart to South View for destroying what used to be a nice area and covering the place with orange traffic cones. Sent in by an anno…","A ""what-the-heck-did-you-do-to-our-parking-lot?"" dart to South View for destroying what used to be a nice area and covering the place with orange traffic cones. Sent in by an annoyed student who wants to know what was wrong with the lot the way it was last semester and wishes you would rectify the situation."
2512,2000-01-20,2000,Spring,2000–2009,DART,-1,dart / criticism,🎯,0.48,"Transit, buses & mobility","Transit, buses & mobility | Campus edge, construction & expansion",JMU,the MLK Peace marchers,,"An ""I-support-your-cause-but-try-the-sidewalk"" dart to the MLK Peace marchers who closed the roads, stopped the buses and forced me to walk all the way across campus on the coldes…","An ""I-support-your-cause-but-try-the-sidewalk"" dart to the MLK Peace marchers who closed the roads, stopped the buses and forced me to walk all the way across campus on the coldest day so far this year. Sent by a frozen freshman who thinks it's great that JMU observes the day, but is still waiting for his ears to thaw."
